,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,492.3607,492.42056,493.02222,493.1371,493.12567,492.93268,492.64197,492.60352,492.4148,492.24023,491.88422,491.70303,491.59067,491.5722,491.6627,491.64227,491.6,491.078,490.91144,490.85287,490.83075,489.5009,488.75613,490.71262,490.70932,491.12033,491.02176,491.0039,490.97433,490.77075,490.80435,490.7506,490.4631,490.27335,490.42868,490.65088,490.70724,490.6151,490.3458
1,492.28293,491.93225,492.3086,492.57532,492.60132,492.55426,492.16528,491.91946,491.7496,491.45508,491.3421,491.31848,491.40692,491.3387,491.40146,491.31323,491.27136,490.66724,490.58502,490.51007,490.40338,490.49393,490.06488,490.2175,490.3299,490.62515,490.66943,490.69495,490.7157,490.59186,490.43832,490.3039,490.09445,489.69568,489.42477,489.4001,489.41083,489.39526,489.9431
2,491.70712,491.59177,491.68112,492.1258,492.081,491.91757,491.63852,491.3396,491.12683,490.90375,490.9266,490.78027,490.78665,490.92664,491.16965,490.93234,490.90588,490.46594,490.50327,490.27133,490.16162,490.34976,490.18964,490.08713,490.01318,490.1515,490.19403,490.25546,490.2644,490.1725,489.99893,489.34494,488.0963,488.6693,489.24615,489.13425,489.1,489.1,489.3271
3,491.4375,491.4828,491.5,491.63647,491.70786,491.40283,491.23596,491.03647,490.74023,490.50458,490.61734,490.5609,490.5323,490.5769,490.69937,490.52313,490.49,490.22028,490.05753,490.13837,490.05765,490.12518,489.61044,490.04248,489.624,489.75797,489.80237,489.8991,489.85892,489.79834,489.67075,488.7081,486.99814,488.28345,489.34787,489.20834,489.1113,489.1,489.10233
4,491.36505,491.42053,491.44812,491.365,491.15906,491.03934,490.78275,490.64548,490.35162,490.20932,490.25986,490.3133,490.30353,490.22192,490.1686,490.11725,490.06476,489.84027,489.5621,489.69458,489.53354,489.90054,489.44196,489.664,489.40836,489.4721,489.59143,489.70016,489.6428,489.50717,489.4264,488.9344,487.8525,488.63208,489.30133,489.1873,489.0697,489.09338,489.10123
5,491.17944,491.13504,491.15158,491.06876,490.77658,490.71988,490.35693,490.13312,490.00967,489.9727,489.9906,489.9995,489.86276,489.74063,489.63593,489.64087,489.56915,489.4227,489.26096,489.50674,489.12134,489.5437,489.28403,489.1129,489.20493,489.26547,489.44867,489.52817,489.4879,489.35626,489.3192,489.2658,488.88986,488.8912,489.0057,489.0185,489.12997,489.10733,489.1
6,490.8606,490.67035,490.5729,490.4955,490.51868,490.31686,490.04807,489.78485,489.83612,489.70325,489.7003,489.6141,489.3475,489.24503,489.203,489.21094,489.17007,489.1987,489.0672,489.51608,489.10654,489.136,488.81445,488.80826,488.90488,489.10266,489.2165,489.1836,489.13635,489.15463,489.13406,489.0076,488.82864,488.75333,488.7284,488.8587,489.28354,489.1363,489.1
7,490.52277,490.29395,490.03177,489.9796,489.9089,489.9127,489.76636,489.64908,489.6375,489.3427,489.15488,489.06308,488.95773,488.9859,489.09082,489.1,489.13904,489.19055,488.9463,488.8116,488.8,488.8,488.8,488.8,488.82782,488.95435,488.8804,488.70892,488.63147,488.6458,488.6,488.70923,488.8,488.8,488.8,488.87604,489.21106,489.13953,489.11716
8,490.08298,489.95618,489.90216,489.9,489.87375,489.92453,489.6338,489.3667,489.22968,489.03125,489.10983,489.05716,488.96155,488.96118,489.05194,489.09256,489.0589,488.87872,489.01266,488.857,488.8,488.8076,488.80032,488.8,488.79855,488.75037,488.60358,488.59198,488.5982,488.6044,488.60767,488.71216,488.8015,488.80258,488.80527,488.88348,489.14578,489.2,489.1973
9,489.93295,489.97284,489.9216,489.9,489.6347,489.4101,489.293,489.2016,489.15872,489.07858,489.20364,489.00073,488.99945,489.0936,489.04074,489.01825,489.28754,489.05075,488.90213,488.8208,488.8,488.88776,488.80377,488.8,488.78308,488.70126,488.64294,488.50244,488.578,488.65448,488.6962,488.74423,488.8197,488.8335,488.8687,488.9731,489.16254,489.2,489.19724
