,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
23,488.78104,488.7636,488.86984,488.9,488.94458,489.18433,489.07938,488.1526,488.14084,488.11313,488.14764,488.12946,488.12277,488.22665,488.1388,488.0287,488.0168,488,488.0366,488.05103,488.09616,488.23834,488.19522,488.15134,488.14178,488.06396,487.9489,487.9666,487.97968,487.94916,488.22803,488.5836,488.74176,488.767,488.75046,488.7114,488.78275,488.75577,488.74988
24,488.71783,488.77423,488.87958,488.9721,488.94785,489.0969,489.04663,488.2,488.18707,488.14197,488.12805,488.1,488.14374,488.3186,488.2012,488,488,488,488.03128,488.0555,488.2166,488.2169,488.1108,488.1946,488.1558,488.12204,488.02676,487.96112,487.9762,487.92206,488.10208,488.44516,488.68268,488.78668,488.77115,488.74445,488.75668,488.70712,488.73804
25,488.72223,488.78256,488.87967,489.0157,489.06152,489.08884,488.85095,488.17374,488.19293,488.16852,488.14587,488.1,488.13013,488.33167,488.19348,487.9751,488,488,488.05255,487.988,488.2028,488.11084,488.1054,488.16037,488.113,488.18655,488.16043,487.96994,487.97,487.93823,487.93564,488.26767,488.60477,488.73727,488.7196,488.77756,488.74142,488.72928,488.7928
26,488.7758,488.8322,488.8885,488.9183,489.17267,489.06924,488.48483,488.1135,488.16116,488.10587,488.12097,488.12088,488.11166,488.22562,488.0842,487.91992,488,488.046,487.95282,487.95294,488.08148,488.1,488.10156,488.11725,488.1,488.1,488.05847,487.93832,487.9,487.9,487.9,488.17233,488.3636,488.58475,488.71378,488.7966,488.8032,488.8,488.8
27,488.78873,488.94614,488.92902,488.98682,489.17038,489.05618,488.31946,488.14105,488.12714,488.13556,488.2,488.19598,488.15024,487.94186,487.70764,487.70013,487.89465,488.3,487.80472,488.0899,488.1035,488.09927,488.10718,488.17834,488.1,488.1,488.12683,488.08936,487.9,487.90408,487.90436,487.9,487.5731,488.12192,488.5603,488.65866,488.7729,488.799,488.81726
28,488.7053,488.92337,488.99988,489.0005,489.09125,489.0745,488.6742,488.48172,488.35425,488.19995,488.2,488.16132,488.1001,487.8531,487.38187,486.9686,487.46863,488.3,488.14523,488.09995,488.0139,488.09253,488.10007,488.1009,488.1,488.1,488.10037,488.03088,487.9,487.945,487.94818,487.9,488.01495,486.91644,486.3467,486.35074,488.30673,488.78876,489.0051
29,489.2894,488.87946,488.98196,489.07693,489.1797,489.04297,488.1584,488.1391,488.1262,488.13556,488.17004,488.2106,488.36816,487.45703,487.2524,486.3,486.3,487.56985,488.21982,488.3502,488.35648,488.20102,488.1958,488.25284,488.1,488.1,488.1,488.12265,488.02188,487.85773,487.95087,487.93823,487.91507,487.77606,488.08377,488.63568,489.1453,489.46793,489.52527
30,490.37784,489.2366,488.9321,489.00583,489.1111,489.03555,488.1,488.1,488.1,488.10587,488.11392,488.1245,488.19815,487.92484,487.95575,487.6376,487.63626,488.73065,489.16614,489.05164,488.88995,488.89902,488.79645,488.53586,489.0505,489.11258,489.11154,489.20032,489.29712,489.2066,489.26862,489.39084,489.39877,489.4718,489.5641,489.446,489.51056,489.5922,489.6
31,491.47443,490.0208,489.43198,488.99637,489.02298,489.0314,488.10843,488.15677,488.1,488.1,488.1,488.1,488.23538,488.40512,488.13306,488,488.44797,489.36,489.61148,489.38452,489.1022,489.09668,489.04932,488.8644,489.10095,489.4,489.4,489.4583,489.5796,489.63083,489.68396,489.8892,490.05466,490.0669,490.0425,489.72098,489.6055,489.65903,489.60672
32,492.06125,491.0468,490.02182,489.28564,488.9671,489.07996,488.1051,488.13428,488.1,488.11652,488.13855,488.1,488.30344,488.55792,487.9,488.26608,489.09998,489.67206,489.7575,489.6058,489.4104,489.1223,489.14767,489.08295,489.23965,489.2712,489.41705,489.47205,489.56375,489.70267,489.75656,489.8873,490.0493,490.0579,490.08472,490.00687,489.7564,489.70135,489.7158
33,492.421,491.7435,490.7011,489.71994,489.0081,489.0735,488.1,488.1,488.1,488.11487,488.13464,488.1,488.3014,488.08698,487.7464,488.76544,489.58704,489.82004,489.84705,489.8035,489.74738,489.4065,489.38226,489.3631,489.48718,489.29062,489.60202,489.9797,490.05258,490.18295,490.2609,490.26465,490.32962,490.33585,490.32657,490.37097,490.00995,489.92868,490.02225
34,492.71805,491.99677,491.25513,490.18085,489.08566,488.7578,488.1,488.1,488.1,488.1,488.1,488.1,488.11316,487.7819,488.08704,489.3722,489.77975,489.8532,489.92804,489.9365,489.96826,489.91382,489.67392,489.6311,489.56113,489.44266,489.84082,490.49963,490.5642,490.62372,490.74823,490.72287,490.74887,490.70847,490.6948,490.84363,490.60983,490.55127,490.93948
35,492.90735,492.13544,491.42743,490.6442,489.24075,488.28918,488.1,488.1,488.1,488.1077,488.11768,488.13147,487.8998,487.93576,489.0308,489.72357,489.81735,489.8976,490.0029,490.04742,490.1167,490.2515,489.88983,489.66013,489.5403,489.45557,489.8814,490.50272,490.561,490.66916,490.93164,491.0619,491.2214,491.25534,491.38568,491.72028,491.60883,491.45975,492.18234
36,493.08563,492.3234,491.4479,490.92477,489.6825,488.28394,488.1145,488.1,488.10385,488.13568,488.17184,488.17108,488.04477,488.58807,489.66284,489.8709,489.89777,489.99173,490.0805,490.18225,490.2,490.2149,490.18323,489.66418,489.48038,489.40375,489.9183,490.98267,490.89026,491.36984,491.93802,492.3044,492.754,493.03043,493.08563,493.02966,492.35492,492.329,492.33557
37,493.10336,492.3774,491.3636,490.75888,490.1466,488.5407,488.1873,488.1,488.12204,488.16702,488.1727,487.89215,487.88324,489.33612,490.05557,490.0457,490.06985,490.10376,490.1052,490.19162,490.21005,490.29727,490.37723,490.11328,489.52713,489.544,490.80032,492.68616,491.8328,492.52475,493.0042,493.00888,493.0198,493.032,493.06943,493.15887,493.0884,493.2057,492.69174
